City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
32,Sawakin,19.1059,37.3321,84.52,60,1,5.79,SD,clear sky
33,San Vicente,-26.6167,-54.1333,64.13,88,74,5.48,AR,light rain
34,Banda Aceh,5.5577,95.3222,77.67,83,100,10.87,ID,light rain
35,Vila,42.0304,-8.1588,54.7,86,60,6.24,PT,broken clouds
36,Marrakesh,31.6315,-8.0083,75.27,43,60,4.61,MA,broken clouds
37,Entre Rios,-11.9419,-38.0844,68.59,96,5,4.21,BR,clear sky
38,San Ramon,37.7799,-121.978,93.27,41,0,8.05,US,clear sky
39,Jizan,17.3333,42.6667,88.74,68,40,2.39,SA,scattered clouds
40,Iisalmi,63.5592,27.1907,48.33,98,100,9.84,FI,overcast clouds
41,Muravlenko,63.7898,74.523,31.44,84,74,6.44,RU,broken clouds
42,Jacksonville Beach,30.2947,-81.3931,73.67,63,0,4.61,US,clear sky
43,Livingstonia,-10.606,34.1063,64.47,53,4,1.88,MW,clear sky
44,Tongling,30.95,117.7833,54.73,91,100,9.98,CN,overcast clouds
45,Baglan,36.1307,68.7083,58.24,31,0,0.83,AF,clear sky
46,Tomatlan,19.9333,-105.25,80.62,87,25,4.0,MX,scattered clouds
47,Rorvik,64.8621,11.2373,50.11,87,40,20.71,NO,scattered clouds
48,Rio Gallegos,-51.6226,-69.2181,50.05,43,40,12.66,AR,scattered clouds
49,Ust-Omchug,61.15,149.6333,16.32,83,100,4.32,RU,overcast clouds
50,Igarka,67.4667,86.5833,30.36,91,99,6.55,RU,overcast clouds
51,Dalvik,65.9702,-18.5286,44.53,97,100,10.65,IS,overcast clouds
52,Sainte-Anne-Des-Monts,49.124,-66.4924,48.07,81,47,5.12,CA,scattered clouds
53,Divinopolis,-20.1389,-44.8839,73.26,56,15,2.42,BR,few clouds
54,Goalpara,26.1667,90.6167,74.97,94,98,0.43,IN,overcast clouds
55,Awjilah,29.1081,21.2869,74.19,44,7,11.01,LY,clear sky
56,Marsa Matruh,31.3525,27.2453,70.0,68,20,11.5,EG,few clouds
57,Adrar,20.5022,-10.0711,91.18,14,3,16.22,MR,clear sky
58,Bambous Virieux,-20.3428,57.7575,71.85,78,75,8.05,MU,broken clouds
59,Bocaiuva,-17.1078,-43.815,76.71,61,24,4.56,BR,few clouds
60,Maragogi,-9.0122,-35.2225,76.01,89,13,7.94,BR,few clouds
61,Honningsvag,70.9821,25.9704,44.35,81,100,14.97,NO,overcast clouds
62,Pivijay,10.4617,-74.6162,78.03,88,100,4.0,CO,overcast clouds
63,Tezu,27.9167,96.1667,72.75,98,100,3.0,IN,overcast clouds
64,Upernavik,72.7868,-56.1549,18.75,84,65,4.21,GL,broken clouds
65,Esperance,-33.8667,121.9,49.84,61,63,19.44,AU,broken clouds
66,Bose,45.4612,8.0137,63.21,83,25,3.65,IT,scattered clouds
67,Marawi,7.9986,124.2928,74.84,81,98,2.55,PH,overcast clouds
68,Praia Da Vitoria,38.7333,-27.0667,68.76,94,75,16.02,PT,light intensity drizzle
69,Kawalu,-7.3817,108.2082,71.8,96,99,0.98,ID,overcast clouds
70,Staunton,38.1496,-79.0717,59.09,80,0,5.75,US,clear sky
71,San Martin,-33.081,-68.4681,63.14,50,70,10.33,AR,broken clouds
72,San Ignacio,17.1561,-89.0714,87.94,62,20,0.0,BZ,few clouds
73,Kudahuvadhoo,2.6708,72.8944,81.07,78,97,19.19,MV,overcast clouds
74,Ituverava,-20.3394,-47.7806,78.39,47,7,5.46,BR,clear sky
75,Zheleznodorozhnyy,55.7503,38.0042,45.21,86,96,6.42,RU,light rain
76,Zhigalovo,54.8097,105.1578,29.77,77,68,1.16,RU,broken clouds
77,Camocim,-2.9022,-40.8411,78.51,81,23,16.87,BR,few clouds
78,Vermilion,40.1667,-87.7506,72.19,52,0,0.0,US,clear sky
79,Payo,-3.7508,103.6372,73.65,95,100,1.12,ID,overcast clouds
80,Vila Franca Do Campo,37.7167,-25.4333,71.2,87,98,11.52,PT,overcast clouds
81,Huilong,31.8111,121.655,62.92,80,100,12.46,CN,moderate rain
82,Luis Correia,-2.8792,-41.6669,79.05,81,19,17.29,BR,few clouds
83,Hualmay,-11.0964,-77.6139,61.41,78,18,11.54,PE,few clouds
84,La Primavera,5.4906,-70.4092,84.0,65,99,2.1,CO,overcast clouds
85,Ilijas,43.9508,18.2708,43.25,100,0,2.3,BA,clear sky
86,Tautira,-17.7333,-149.15,76.62,71,29,24.29,PF,scattered clouds
87,Katsuura,35.1333,140.3,59.02,86,100,23.38,JP,moderate rain
88,Dauriya,49.9333,116.8667,29.23,54,51,4.25,RU,broken clouds
89,Fare,-16.7,-151.0167,77.92,73,6,26.06,PF,clear sky
90,Coquimbo,-29.9533,-71.3436,56.93,82,20,10.36,CL,few clouds
91,Artesia,33.8658,-118.0831,92.07,69,0,10.36,US,clear sky
92,Kunfeherto,46.3609,19.4145,53.19,66,100,7.02,HU,overcast clouds
93,Cabedelo,-6.9811,-34.8339,77.67,86,1,11.05,BR,clear sky
94,Mandiana,10.6333,-8.6833,70.59,92,90,3.18,GN,overcast clouds
95,Tieli,46.95,128.05,37.17,36,6,7.11,CN,clear sky
96,Berbera,10.4396,45.0143,86.29,70,90,2.89,SO,overcast clouds
97,Aljezur,37.3191,-8.8033,68.14,58,0,6.02,PT,clear sky
98,Byron Bay,-28.65,153.6167,64.36,87,100,2.68,AU,overcast clouds
99,San Jose,37.3394,-121.895,90.68,44,20,8.05,US,few clouds
100,Daru,-9.0763,143.2092,81.84,86,82,16.31,PG,broken clouds
101,Oxford,51.7522,-1.256,50.38,84,1,8.05,GB,clear sky
102,Gat,31.61,34.7642,73.4,100,0,3.69,IL,clear sky
103,Narsaq,60.9167,-46.05,39.42,88,92,5.79,GL,overcast clouds
104,Cloquet,46.7216,-92.4594,69.19,69,0,3.44,US,clear sky
105,Evansville,37.9748,-87.5558,73.45,46,0,0.0,US,clear sky
106,Westport,41.1415,-73.3579,61.45,89,100,14.97,US,light rain
107,Molchanovo,57.5817,83.7692,37.08,91,100,4.79,RU,overcast clouds
108,Brae,60.3964,-1.353,50.29,79,91,30.06,GB,overcast clouds
109,Gorontalo,0.5412,123.0595,81.46,81,93,0.65,ID,overcast clouds
110,Qaqortoq,60.7167,-46.0333,36.63,85,90,17.98,GL,overcast clouds
111,Meadow Lake,34.8014,-106.5436,58.6,91,99,7.52,US,light rain
112,Chifeng,42.2683,118.9636,41.02,25,100,1.61,CN,overcast clouds
113,Nshamba,-1.7983,31.5511,65.28,64,56,3.98,TZ,broken clouds
114,Port Lincoln,-34.7333,135.8667,63.27,65,1,7.92,AU,clear sky
115,Pizarro,4.9533,-77.366,77.97,85,55,6.22,CO,broken clouds
116,Taoudenni,22.6783,-3.9836,94.66,11,2,7.05,ML,clear sky
117,Choix,26.7092,-108.3219,85.23,53,0,3.4,MX,clear sky
118,Mozarlandia,-14.7447,-50.5706,85.14,43,73,6.24,BR,broken clouds
119,Nushki,29.5542,66.0215,66.85,13,0,2.68,PK,clear sky
120,Mattru,7.6244,-11.8332,72.99,98,98,1.16,SL,moderate rain
121,Zhezkazgan,47.8043,67.7144,45.0,33,2,7.72,KZ,clear sky
122,Kurumkan,54.3,110.3,24.46,65,10,2.39,RU,clear sky
123,Ocos,14.5094,-92.1933,80.78,74,100,3.2,GT,overcast clouds
124,Toora-Khem,52.4675,96.11,30.02,96,100,2.1,RU,light snow
125,Gornoye Loo,43.7129,39.6049,59.79,78,97,5.57,RU,overcast clouds
126,Balakhta,55.38,91.6,30.2,96,88,8.25,RU,light snow
127,Kenai,60.5544,-151.2583,56.08,60,20,19.57,US,few clouds
128,Coihaique,-45.5752,-72.0662,42.75,87,100,0.0,CL,light rain
129,Monforte De Lemos,42.5216,-7.5142,61.57,93,92,2.46,ES,overcast clouds
130,Cooma,-36.2333,149.1333,47.97,100,100,11.5,AU,overcast clouds
131,Lismore,-28.8135,153.2773,64.35,82,100,2.3,AU,overcast clouds
132,Cayce,33.9657,-81.074,71.38,56,0,0.0,US,clear sky
133,Madimba,-10.4,40.3333,71.28,87,11,3.6,TZ,few clouds
134,Umm Lajj,25.0213,37.2685,85.15,49,0,6.76,SA,clear sky
135,Katherine,-14.4667,132.2667,84.52,65,40,1.14,AU,scattered clouds
136,Belaya Gora,68.5333,146.4167,20.61,87,99,13.27,RU,light snow
137,Lincoln,40.8,-96.667,75.11,50,0,11.5,US,clear sky
138,Baghdad,33.3406,44.4009,75.11,35,0,1.14,IQ,clear sky
139,Champerico,14.3,-91.9167,84.74,77,99,4.59,GT,overcast clouds
140,Goba,7.0167,39.9833,46.89,86,78,4.41,ET,broken clouds
141,Lagos,6.5833,3.75,77.32,92,60,3.98,NG,light rain
142,Bahir Dar,11.5936,37.3908,58.66,82,60,4.05,ET,broken clouds
143,Hasaki,35.7333,140.8333,59.29,74,100,23.62,JP,heavy intensity rain
144,Sabha,27.0377,14.4283,71.17,43,0,9.71,LY,clear sky
145,Kozluk,38.1938,41.4885,61.05,24,80,3.51,TR,broken clouds
146,Mitsamiouli,-11.3847,43.2844,74.5,78,1,3.0,KM,clear sky
147,Tooele,40.5308,-112.2983,74.19,35,0,8.05,US,clear sky
148,Griffith,41.5284,-87.4237,73.89,38,0,4.61,US,clear sky
149,Flin Flon,54.7682,-101.865,37.24,56,40,11.5,CA,scattered clouds
150,Pasni,25.2631,63.471,77.65,84,0,6.31,PK,clear sky
151,Saint-Augustin,51.226,-58.6502,50.7,92,72,8.46,CA,broken clouds
